t,x,ts
0.0,0.02,1.4319637
0.010012516,0.02,1.4387302
0.020025032,0.02,1.4457059
0.030037548,0.02,1.4528849
0.040050063,0.02,1.4602785
0.05006258,0.02,1.4679105
0.060075097,0.02,1.4758146
0.07008761,0.02,1.4840281
0.08010013,0.02,1.492589
0.09011264,0.02,1.5015361
0.10012516,0.02,1.5109053
0.11013767,0.02,1.5207264
0.12015019,0.02,1.5310283
0.1301627,0.02,1.5418324
0.14017522,0.02,1.5531561
0.15018773,0.02,1.5650122
0.16020025,0.02,1.5774095
0.17021278,0.02,1.5903525
0.18022528,0.02,1.6038411
0.1902378,0.02,1.6178727
0.20025031,0.02,1.6324389
0.21026284,0.02,1.6475327
0.22027534,0.02,1.6631391
0.23028786,0.02,1.6792433
0.24030039,0.02,1.695828
0.2503129,0.02,1.7128708
0.26032543,0.02,1.7303483
0.27033794,0.02,1.7482355
0.28035045,0.02,1.7665045
0.29036295,0.02,1.7851262
0.3003755,0.02,1.8040669
0.310388,0.02,1.8232942
0.3204005,0.02,1.8427727
0.330413,0.02,1.8624663
0.34042555,0.02,1.8823378
0.35043806,0.02,1.9023485
0.36045057,0.02,1.9224594
0.37046307,0.02,1.9426322
0.3804756,0.02,1.9628267
0.39048812,0.02,1.9830031
0.40050063,0.02,2.0031242
0.41051313,0.02,2.0231502
0.42052567,0.02,2.0430448
0.43053818,0.02,2.0627708
0.44055068,0.02,2.0822942
0.4505632,0.02,2.1015797
0.46057573,0.02,2.1205947
0.47058824,0.02,2.1393087
0.48060077,0.02,2.1576922
0.49061328,0.02,2.1757166
0.5006258,0.02,2.1933548
0.5106383,0.02,2.210583
0.52065086,0.02,2.2273762
0.5306634,0.02,2.2437115
0.5406759,0.02,2.2595673
0.5506884,0.02,2.2749233
0.5607009,0.02,2.2897594
0.5707134,0.02,2.3040552
0.5807259,0.02,2.317793
0.5907384,0.02,2.330953
0.600751,0.02,2.3435152
0.6107635,0.02,2.355461
0.620776,0.02,2.3667703
0.6307885,0.02,2.3774219
0.640801,0.02,2.3873951
0.6508135,0.02,2.3966653
0.660826,0.02,2.4052095
0.67083853,0.02,2.4130025
0.6808511,0.02,2.4200156
0.6908636,0.02,2.4262202
0.7008761,0.02,2.431585
0.7108886,0.02,2.4360776
0.72090113,0.02,2.4396632
0.73091364,0.02,2.4423048
0.74092615,0.02,2.443964
0.75093865,0.02,2.4446008
0.7609512,0.02,2.4441729
0.7709637,0.02,2.4426374
0.78097624,0.02,2.4399507
0.79098874,0.02,2.436068
0.80100125,0.02,2.4309442
0.81101376,0.02,2.4245362
0.82102627,0.02,2.416801
0.8310388,0.02,2.407698
0.84105134,0.02,2.3971882
0.85106385,0.02,2.385239
0.86107635,0.02,2.37182
0.87108886,0.02,2.3569093
0.88110137,0.02,2.340489
0.8911139,0.02,2.3225527
0.9011264,0.02,2.3031013
0.9111389,0.02,2.282146
0.92115146,0.02,2.2597113
0.93116397,0.02,2.2358317
0.9411765,0.02,2.210556
0.951189,0.02,2.1839464
0.96120155,0.02,2.1560783
0.97121406,0.02,2.1270397
0.98122656,0.02,2.096934
0.9912391,0.02,2.065874
1.0012516,0.02,2.033984
1.0112641,0.02,2.0013995
1.0212766,0.02,1.9682598
1.0312891,0.02,1.9347126
1.0413016,0.02,1.9009094
1.0513141,0.02,1.8669994
1.0613266,0.02,1.8331327
1.0713391,0.02,1.799454
1.0813516,0.02,1.7661028
1.0913641,0.02,1.7332098
1.1013767,0.02,1.7008951
1.1113892,0.02,1.6692679
1.1214018,0.02,1.6384258
1.1314143,0.02,1.6084521
1.1414268,0.02,1.579418
1.1514393,0.02,1.551379
1.1614518,0.02,1.5243778
1.1714643,0.02,1.498447
1.1814768,0.02,1.4736035
1.1914895,0.02,1.4498551
1.2015018,0.02,1.4272008
1.2115144,0.02,1.4056289
1.2215269,0.02,1.3851199
1.2315394,0.02,1.3656497
1.2415519,0.02,1.3471868
1.2515644,0.02,1.3296971
1.2615769,0.02,1.3131418
1.2715895,0.02,1.2974796
1.281602,0.02,1.2826698
1.2916145,0.02,1.2686679
1.301627,0.02,1.2554307
1.3116395,0.02,1.2429142
1.321652,0.02,1.231077
1.3316646,0.02,1.2198765
1.3416771,0.02,1.2092714
1.3516896,0.02,1.199224
1.3617022,0.02,1.1896956
1.3717147,0.02,1.1806507
1.3817272,0.02,1.172056
1.3917397,0.02,1.1638782
1.4017522,0.02,1.1560874
1.4117647,0.02,1.1486549
1.4217772,0.02,1.1415539
1.4317899,0.02,1.1347585
1.4418023,0.02,1.1282465
1.4518148,0.02,1.1219945
1.4618273,0.02,1.1159828
1.4718398,0.02,1.1101923
1.4818523,0.02,1.1046045
1.4918648,0.02,1.0992045
1.5018773,0.02,1.0939755
1.5118899,0.02,1.0889039
1.5219024,0.02,1.0839775
1.531915,0.02,1.0791831
1.5419275,0.02,1.0745101
1.55194,0.02,1.069948
1.5619525,0.02,1.0654869
1.571965,0.02,1.0611191
1.5819775,0.02,1.0568352
1.59199,0.02,1.0526292
1.6020025,0.02,1.0484939
1.612015,0.02,1.0444224
1.6220275,0.02,1.0404098
1.63204,0.02,1.0364501
1.6420525,0.02,1.0325394
1.652065,0.02,1.0286725
1.6620775,0.02,1.0248454
1.67209,0.02,1.021055
1.6821027,0.02,1.0172977
